first	second	orthologs
human	rat	15206
human	mouse	15996
human	fly	3261
human	worm	2573
human	yeast	1176
human	alpaca	25
human	cow	15641
human	horse	15552
human	pig	15744
human	sheep	15601
human	cat	15500
human	dog	15616
human	guinea_pig	15084
human	rabbit	14339
human	chicken	12083
human	turkey	11416
rat	mouse	16674
rat	fly	3132
rat	worm	2467
rat	yeast	1120
rat	alpaca	24
rat	cow	14988
rat	horse	14803
rat	pig	15037
rat	sheep	14910
rat	cat	14832
rat	dog	14862
rat	guinea_pig	14663
rat	rabbit	13837
rat	chicken	11602
rat	turkey	10974
mouse	fly	3273
mouse	worm	2567
mouse	yeast	1169
mouse	alpaca	25
mouse	cow	15580
mouse	horse	15454
mouse	pig	15645
mouse	sheep	15527
mouse	cat	15383
mouse	dog	15474
mouse	guinea_pig	15349
mouse	rabbit	14417
mouse	chicken	12100
mouse	turkey	11423
fly	worm	3263
fly	yeast	1269
fly	alpaca	10
fly	cow	3198
fly	horse	3228
fly	pig	3174
fly	sheep	3170
fly	cat	3170
fly	dog	3146
fly	guinea_pig	3227
fly	rabbit	2937
fly	chicken	2995
fly	turkey	2855
worm	yeast	1212
worm	alpaca	8
worm	cow	2519
worm	horse	2558
worm	pig	2490
worm	sheep	2495
worm	cat	2513
worm	dog	2484
worm	guinea_pig	2537
worm	rabbit	2304
worm	chicken	2359
worm	turkey	2268
yeast	alpaca	4
yeast	cow	1166
yeast	horse	1185
yeast	pig	1143
yeast	sheep	1139
yeast	cat	1141
yeast	dog	1133
yeast	guinea_pig	1163
yeast	rabbit	1054
yeast	chicken	1091
yeast	turkey	1054
alpaca	cow	23
alpaca	horse	24
alpaca	pig	20
alpaca	sheep	22
alpaca	cat	22
alpaca	dog	25
alpaca	guinea_pig	25
alpaca	rabbit	24
alpaca	chicken	19
alpaca	turkey	21
cow	horse	15429
cow	pig	15655
cow	sheep	16454
cow	cat	15381
cow	dog	15435
cow	guinea_pig	14835
cow	rabbit	14202
cow	chicken	11849
cow	turkey	11242
horse	pig	15387
horse	sheep	15354
horse	cat	15288
horse	dog	15300
horse	guinea_pig	14713
horse	rabbit	14191
horse	chicken	11772
horse	turkey	11218
pig	sheep	15644
pig	cat	15703
pig	dog	15492
pig	guinea_pig	14858
pig	rabbit	14200
pig	chicken	11862
pig	turkey	11202
sheep	cat	15316
sheep	dog	15404
sheep	guinea_pig	14741
sheep	rabbit	14181
sheep	chicken	11773
sheep	turkey	11154
cat	dog	15490
cat	guinea_pig	14733
cat	rabbit	14072
cat	chicken	11694
cat	turkey	11089
dog	guinea_pig	14714
dog	rabbit	14145
dog	chicken	11747
dog	turkey	11150
guinea_pig	rabbit	13706
guinea_pig	chicken	11710
guinea_pig	turkey	11091
rabbit	chicken	10961
rabbit	turkey	10423
chicken	turkey	11798
